"node","cluster"
"202067_s_at",1
"202068_s_at",1
"217005_at",1
"217103_at",1
"217173_s_at",1
"200991_s_at",1
"206789_s_at",2
"214732_at",2
"204253_s_at",2
"204254_s_at",2
"204255_s_at",2
"213692_s_at",2
"210082_at",3
"206276_at",3
"208288_at",3
"211224_s_at",3
"211560_s_at",4
"218832_x_at",4
"221861_at",4
"43511_s_at",4
"49111_at",4
"210328_at",4
"211916_s_at",5
"206103_at",5
"217765_at",5
"220496_at",5
"219431_at",5
"202366_at",6
"207618_s_at",6
"201509_at",6
"210014_x_at",6
"210418_s_at",6
"202148_s_at",6
"210803_at",6
"211177_s_at",6
"201569_s_at",6
"201570_at",6
"201480_s_at",6
"201387_s_at",9999
"205155_s_at",9999
"205297_s_at",9999
"205348_s_at",9999
"206607_at",9999
"206834_at",9999
"207226_at",9999
"209832_s_at",9999
"212540_at",9999
"214436_at",9999
"214644_at",9999
"216952_s_at",9999
"220185_at",9999
