"node","cluster"
"RPL4",1
"RPS23",1
"FAU",1
"RPL30",1
"RPL27A",1
"RPL37A",1
"RPL15",1
"RPL14",1
"RPL36AL",1
"RPL7",1
"RPLP0",1
"RPL10",1
"RPL11",1
"RPS9",1
"RPS2",1
"RPLP2",1
"RPL8",1
"RPL18",1
"RPL32",1
"RPL37",1
"RPL35",1
"RPL13A",1
"RPL41",1
"RPS21",1
"HIST1H2AC",1
"EEF2",1
"MRPS12",1
"PCBP1",1
"EIF4A2",1
"EIF5A",1
"RPN1",1
"GSPT2",1
"PSMA4",1
"PSMA7",1
"PSMB4",1
"PSMC4",1
"ARF1",1
"HARS2",1
"PCBP2",1
"PPAN",1
"PPIB",1
"NONO",1
"XAB2",1
"MYBBP1A",1
"FTSJ3",1
"CKS1B",1
"CPSF1",1
"TUBB",1
"CSNK2B",1
"NPM1",1
"TRAPPC5",1
"PYCR2",1
"DDOST",1
"GNB1",1
"SURF4",1
"ARPC1B",1
"GNB2",1
"LSM2",1
"THOC2",1
"POLR2L",1
"ANAPC2",1
"SET",1
"PRMT5",1
"EXOSC7",1
"EXOSC3",1
"MUS81",1
"NUDC",1
"SEC61A1",1
"PGK1",1
"TBCA",1
"HDAC3",2
"PHC1",2
"MTA1",2
"MTA2",2
"SAP30",2
"SIN3B",2
"RCOR2",2
"SUDS3",2
"HCFC1",2
"AKT1",3
"PLEKHO1",3
"STAT3",4
"DIRAS3",4
"PLK1",5
"INCENP",5
"TACC3",5
"KIFC1",5
"FOXM1",5
"POLD3",5
"DDX11",5
"RRM2",5
"NDUFB10",6
"TXN2",6
"ECHS1",6
"CLPP",6
"HINT1",6
"ASNA1",6
"UQCRC2",6
"NIPSNAP1",6
"MDH2",6
"COX5A",6
"CRK",7
"GP9",7
"ITGA2B",7
"VWF",7
"CSK",7
"SOS1",7
"STAT5A",7
"ARHGAP17",8
"RAB5C",8
"RAB5B",8
"ATP6V1F",8
"RAB11B",8
"RABAC1",8
"MSN",9
"CD63",9
"IGF2R",9
"LAMP1",9
"SP1",10
"NFKB2",10
"GEMIN4",10
"ACTN4",11
"ACTA1",11
"ACTA2",11
"TMSB4X",11
"TPM2",11
"TNNI2",11
"TNNI1",11
"HCK",12
"ILKAP",12
"LIMK2",12
"PIM2",12
"DYNC1H1",13
"PCNT",13
"CSNK1E",13
"TUBGCP2",13
"DYNC1LI1",13
"HRAS",14
"GNAI2",14
"RGS14",14
"SH3GL1",15
"SH3GLB2",15
"UBE2R2",15
"GABARAP",15
"VPS28",15
"IRF3",16
"IRF2",16
"IRF7",16
"EGR1",16
"IFIT2",16
"ADAR",16
"FRG1",17
"MPHOSPH6",17
"DNM2",17
"EXOSC5",17
"NDUFV1",18
"NDUFB7",18
