"node","cluster"
"AKT1",1
"FOXM1",1
"WDTC1",1
"STAT3",1
"STK11",1
"HRAS",1
"NPM1",1
"SP1",1
"EGR1",1
"TNF",1
"RPL11",2
"SDSL",2
"RPL35",2
"RPL27A",2
"EEF1G",2
"RPL8",2
"RPL32",2
"RPS23",2
"RPL18",2
"RPL10",2
"RPL30",2
"RPL4",2
"RPL7",2
"RPL13A",2
"RPS9",2
"RPS2",2
"RPLP0",2
"RPLP2",2
"RPL14",2
"RPL37A",2
"RPL36AL",2
"RPL15",2
"EEF2",2
"RPS21",2
"RPL41",2
"RPL37",2
"SMG6",2
"SEC61A1",2
"RPN1",2
"DDOST",2
"GSPT2",2
"EIF4A2",2
"EIF5A",2
"FAU",2
"EXOSC3",2
"EXOSC5",2
"EXOSC7",2
"MPHOSPH6",2
"MRPL16",2
"MRPS12",2
"PLK1",3
"RRM2",3
"PKMYT1",3
"CDC25A",3
"CKS1B",3
"BRSK1",3
"PRMT5",3
"ACTA1",4
"ACTN4",4
"TMSB4X",4
"SPARC",4
"PF4",4
"VEGFB",4
"VWF",4
"GNB1",5
"PLCB2",5
"GNAI2",5
"GNB2",5
"DIRAS2",5
"PIK3R5",5
"PLCB3",5
"PRKCG",5
"PLCD1",5
"RTN4RL2",5
"HDAC3",6
"IRF3",6
"TRIM3",6
"IRF7",6
"IRF2",6
"IFI30",6
"TRIM22",6
"IFIT2",6
"HLA-G",6
"PPP3CC",7
"PIM2",7
"SOCS1",7
"ANAPC2",7
"UBE2R2",7
"RNF130",7
"DTX3L",7
"UBE2V1",7
"MIB2",7
"HECTD3",7
"ASB2",7
"POLR2L",8
"POLR2J2",8
"GTF2H4",8
"GTF2F1",8
"XAB2",8
"CTNNBL1",8
"CPSF1",8
"PQBP1",8
"SF3A2",8
"LSM7",8
"LSM2",8
"PCBP2",8
"PCBP1",8
"ARRB2",9
"OR4C46",9
"OR2Z1",9
"OR1M1",9
"DNM2",10
"MPZ",10
"SH3GL1",11
"MICAL1",11
"TYRO3",11
"HIST1H2AC",12
"HOXC4",12
"DYNC1H1",13
"TUBB",13
"TUBGCP2",13
"PCNT",13
"CSNK1E",13
"DYNC1LI1",13
"KIFC1",13
"ACTA2",14
"ANXA5",14
"ITGA2B",15
"SLAMF1",15
"PSMA7",15
"NFKBIB",15
"CD79A",16
"TNFRSF13B",16
"CD22",16
"NDUFV1",17
"NDUFB7",17
"NDUFB11",17
"NDUFA3",17
"NDUFB10",17
"NDUFS7",17
"ACAD9",17
"SDHC",17
"COX5A",17
"UQCRC2",17
"UQCRQ",17
"COX7C",17
"SOS1",18
"FRS3",18
"HCK",18
"CRK",18
"VAV1",18
"STAT5A",18
"TH",19
"PAH",19
"CYGB",19
"HBD",19
"HBE1",19
"HBQ1",19
"HBZ",19
"RAB5C",20
"RAB5B",20
"VAMP8",20
"IGF2R",20
"TGOLN2",20
"ARF1",20
"AP2A1",20
"SYT8",20
"ARPC5",20
"ARPC4",20
"MCL1",21
"HRK",21
"BAD",21
"BBC3",21
"BID",21
"SPI1",22
"GATA2",22
"CEBPA",22
"TAL1",22
"ZFPM1",22
"TXNRD2",23
"SCLY",23
"OBSCN",24
"TCAP",24
"MYL2",24
"MYL3",24
"TNNT2",24
"TNNT3",24
"TNNI1",24
"TNNI2",24
"TPM2",24
"MYL6",24
"MYO18B",24
"MTA2",25
"HINT1",25
"SUDS3",25
"SIN3B",25
"SAP30",25
"HIST1H2AA",25
"FOXK1",25
"KLC2",26
"NFKB2",26
"PSME4",26
"PSMB4",26
"PSMA4",26
"PSMC4",26
"RELB",26
"OAZ2",26
"PPP2R5A",26
"CXCR4",27
"ADCY1",27
"GRM4",27
"NPY",27
"NPW",27
"CORT",27
"P2RY11",28
"FFAR2",28
"UTS2R",28
"CAMK2A",29
"SYNGAP1",29
"AMBP",30
"COMP",30
"NDP",30
"TNFRSF10C",30
"PDXP",30
"HLA-DRB1",31
"HLA-DRA",31
"HLA-DQA2",31
"HLA-DMA",31
"OSBPL1A",31
"LAT",31
"FGF8",32
"WNT11",32
"WNT10B",32
"WNT3",32
"RHOT2",33
"ARHGEF16",33
"RHOBTB1",33
"RHOG",33
"ARHGAP17",33
"FGD3",33
"ARHGAP9",33
"INCENP",34
"PIAS3",34
"MTA1",34
"STAT4",34
"CACNA1A",35
"CACNA1H",35
"CACNA2D4",35
"RASGRP2",35
"CATSPER3",35
"CAB39",36
"STK24",36
"NUP210",37
"POM121",37
"THOC6",37
"THOC2",37
"TUBB2B",38
"TBCA",38
"MDH2",39
"GLUD2",39
"IDH2",39
"IL6R",40
"THPO",40
"CNTFR",40
"CTF1",40
"CSF3R",40
"MSN",41
"SPN",41
"SELL",41
"IL7R",41
"MGAM",42
"GGT1",42
"HK3",43
"FCN1",43
"CFP",43
"CNDP2",44
"GSS",44
"GCLM",44
"PPIB",45
"RANGAP1",45
"RIPK1",46
"ILKAP",46
"COMT",47
"APOL3",47
"POR",48
"CYP4A11",48
"MYBBP1A",49
"TAF1C",49
"BAZ1B",49
"MRPL21",50
"MRPL17",50
"MRPL52",50
"MRPS24",50
"TSC2",51
"PPP1R15A",51
"KRTAP6-3",52
"KRTAP11-1",52
"KRTAP23-1",52
