"node","cluster"
"RPL4",1
"RRM2",1
"RPS9",1
"RPS2",1
"PCBP2",1
"RPL7",1
"RPLP0",1
"RPLP2",1
"RPL11",1
"PCBP1",1
"EEF2",1
"RPL14",1
"RPL15",1
"RPL35",1
"RPL8",1
"RPL30",1
"RPL18",1
"RPS23",1
"RPL13A",1
"RPL10",1
"RPL27A",1
"RPL32",1
"RPL36AL",1
"RPL37A",1
"EIF5A",1
"NPM1",1
"PSMA4",1
"PSMA7",1
"MYBBP1A",1
"PSMC4",1
"PPIB",1
"PSMB4",1
"MARS",1
"RPN1",1
"DDOST",1
"RPL37",1
"HARS2",1
"POLR2L",1
"FTSJ3",1
"PRMT5",1
"SET",1
"NONO",1
"CSNK2B",1
"PPAN",1
"TUBB",1
"ARF1",1
"EIF4A2",1
"PGK1",1
"CPSF1",1
"CKS1B",1
"SEC61A1",1
"GNB1",1
"GNB2",1
"TIMM13",1
"PYCR2",1
"P2RY11",1
"MUS81",1
"DNAJC9",1
"NUDC",1
"LSM2",1
"GSPT2",1
"PDCL3",1
"XAB2",1
"HIST1H2AC",1
"EXOSC3",1
"EXOSC5",1
"EXOSC7",1
"EEF1G",1
"ASNA1",1
"MRPL17",1
"MRPL16",1
"ARPC1B",1
"TBCA",1
"HINT1",1
"HDAC3",1
"MDH2",1
"AKT1",2
"FOXM1",2
"STAT3",2
"IRF3",2
"EGR1",2
"SP1",2
"NDUFV1",3
"NIPSNAP1",3
"UQCRC2",3
"COX5A",3
"NDUFB10",3
"COX7C",3
"NDUFA3",3
"NDUFB11",3
"UQCRQ",3
"NDUFB7",3
"NDUFS7",3
"MRPS24",3
"MRPS12",3
"CLPP",3
"SDHC",3
"COX7A2L",3
"ECHS1",3
"IDH2",3
"TIMM8A",3
"CHCHD2",3
"PLK1",4
"DDX11",4
"INCENP",4
"KIFC1",4
"POLD3",4
"PKMYT1",4
"CENPH",4
"RANGAP1",4
"TACC3",4
"CRK",5
"HSPBP1",5
"ARHGAP17",6
"ARHGEF16",6
"RHOBTB1",6
"RHOT2",6
"RHOG",6
"SOS1",6
"ARHGAP9",6
"FGD3",6
"HRAS",7
"FRS3",7
"RAB5C",8
"SERINC2",8
"RAB5B",8
"RABAC1",8
"RAB11B",8
"YIF1B",8
"SURF4",8
"AP2A1",8
"CSK",9
"STAT5A",9
"ITGA2B",9
"VWF",9
"DYNC1H1",10
"GNAI2",10
"FLII",10
"MSN",11
"ACTN4",11
"TMSB4X",11
"MYL6",11
"SPARC",11
"PF4",11
"VEGFB",11
"MTA1",12
"SIN3B",12
"SUDS3",12
"SAP30",12
"HCFC1",12
"MTA2",12
"RCOR2",12
"HLA-DRB1",13
"CXCR4",13
"IRF2",13
"IRF7",13
"IFI30",13
"GABARAP",14
"UBE2R2",14
"SH3GL1",14
"SH3GLB2",14
"ANAPC2",14
"VPS28",14
"HCK",15
"PSTPIP1",15
"DNM2",15
"VAV1",15
"LAMP1",16
"VAMP8",16
"IGF2R",16
"ECE1",16
"CD63",16
"ACTA1",17
"ACTA2",17
"HSPB1",17
"TUBB2B",17
"NFKB2",18
"NFKBIB",18
"TSC22D3",18
"RIPK1",18
"GTF2H4",19
"GTF2F1",19
"POLR2J2",19
"PAF1",19
"ZBED1",19
"ADCY1",20
"HTR4",20
"FSHR",20
"SCTR",20
"ADM2",20
"CSNK1E",21
"CDC25A",21
"TNNI2",22
"TNNI1",22
"TNNT3",22
"TCAP",22
"MYL3",22
"MYL2",22
"TPM2",22
"CAMK2A",23
"SYNGAP1",23
"PIAS1",24
"CEBPA",24
"DBP",24
"BATF",24
"STK11",25
"ILKAP",25
"LIMK2",25
"RELB",26
"USP11",26
"KPNA6",26
"ALOX5AP",27
"PLP2",27
"TBXAS1",27
"CD79A",28
"TNFRSF13B",28
"CD22",28
"BAD",29
"HRK",29
"MCL1",29
"BID",29
"BBC3",29
"PLCB3",30
"PLCB2",30
"PIP5K1C",30
"RBM10",31
"USP22",31
"ATXN7L3",31
"SMARCD3",32
"KLHDC3",32
"NCK2",33
"GIT1",33
"HOXC4",33
"UGP2",34
"CAB39",34
"RGS2",35
"UTS2R",35
"FFAR2",35
"PROK2",35
"MYOG",36
"MEF2D",36
"SRF",36
"HBD",37
"HBE1",37
"HBZ",37
"HBQ1",37
"SPN",38
"SIGLEC1",38
"CD68",39
"SPI1",39
"GATA2",39
"ZFPM1",39
"POR",40
"LSS",40
"SLC39A7",40
"TSC2",41
"KLC2",41
"FRG1",42
"CTNNBL1",42
"SF3A2",42
"GEMIN4",43
"PIAS3",43
"GSS",44
"CNDP2",44
"GCLM",44
"GGT1",44
"PRMT8",45
"DPH5",45
"OR5A2",46
"OR4C46",46
"OR1M1",46
"OR6N1",46
"ATP6V1F",47
"ATP6AP1",47
"HLA-DMA",48
"HLA-G",48
"HLA-DQA2",48
"ALAS2",49
"SARDH",49
"PPP3CC",50
"PPP1R1B",50
"NR5A1",51
"PITX1",51
"THRA",51
"PIM2",52
"EIF4EBP1",52
"SOCS1",52
"DYRK1B",53
"FOXK1",53
"NPW",54
"NPY",54
"GRM4",54
"RGS14",54
"S100A8",55
"S100A12",55
