"node","cluster"
"CDC34",1
"UBE2E3",1
"UBL4B",1
"ZNRF3",1
"SP1",2
"NR1H3",2
"HIST1H2BN",3
"HIST1H2AK",3
"CBL",4
"CBLC",4
"HLA-DRA",5
"PDCD1",5
"ALAS2",6
"GNMT",6
"UCHL1",7
"BCS1L",7
"KRT4",7
"CARD11",8
"NFKBIE",8
"ASGR1",9
"ITIH3",9
"CLEC1B",9
"DYNC1I1",10
"DNAI2",10
"F2RL3",11
"CHRM1",11
"ACADS",0
"AMH",0
"ARHGAP10",0
"ARRB1",0
"AVPR1B",0
"BRSK1",0
"CABP4",0
"CACNA1E",0
"CBX4",0
"CD79B",0
"CDT1",0
"CENPH",0
"CRTC2",0
"DGCR8",0
"DPEP1",0
"DUX4",0
"EEF1D",0
"EPB42",0
"FBXL2",0
"FHL2",0
"GABBR2",0
"GSTZ1",0
"HBD",0
"HOXA2",0
"IDH3B",0
"IGLL1",0
"INHBE",0
"IRAK2",0
"KCNAB3",0
"KCNH6",0
"LAMB2",0
"LDLR",0
"LMNB2",0
"LPA",0
"LRRC38",0
"LRRK1",0
"MAD1L1",0
"MPO",0
"MTG1",0
"OR1E1",0
"OR5C1",0
"OR7G1",0
"PCK2",0
"PELI3",0
"PLEKHG5",0
"PMF1",0
"POU2F1",0
"RAC3",0
"REM1",0
"RHPN1",0
"RILP",0
"RIMS2",0
"SAMM50",0
"SLC17A7",0
"SNX17",0
"SPTBN2",0
"SPTBN4",0
"STK32A",0
"SUPT5H",0
"TBX4",0
"TGFB2",0
"TRPM1",0
"TRPV5",0
"TXNRD2",0
"USP37",0
"VDR",0
"ZNF593",0
